ID,Joke
144,"I was in an 80's band called the prevention. We were better than the cure."
145,"I was just looking at my ceiling. Not sure if it's the best ceiling in the world, but it's definitely up there."
146,"I was so proud when I finished the puzzle in six months, when on the side it said three to four years."
147,"I was thinking about moving to Moscow but there is no point Russian into things."
148,"I went on a date last night with a girl from the zoo. It was great. She's a keeper."
149,"I went to a Foo Fighters Concert once... It was Everlong..."
150,"I went to the store to pick up eight cans of sprite... when I got home I realized I'd only picked seven up."
151,"I went to the zoo the other day, there was only one dog in it. It was a shitzu."
152,"I would tell you a joke about paper, but it's tearable."
153,"I wouldn't buy anything with velcro. It's a total rip-off."
154,"I'll tell you something about German sausages, they're the wurst."
155,"I've deleted the phone numbers of all the Germans I know from my mobile phone. Now it's Hans free."
156,"I'd like to start a diet, but I've got too much on my plate right now."
157,"If you think swimming with dolphins is expensive, you should try swimming with sharks--it cost me an arm and a leg!"
158,"I'll tell you what often gets over looked... garden fences."
159,"I'm afraid for the calendar. Its days are numbered."
160,"I'm glad I know sign language, it's pretty handy."
161,"I'm reading a book about anti-gravity. It's impossible to put down."
162,"I'm tired of following my dreams. I'm just going to ask them where they are going and meet up with them later."
163,"In the news a courtroom artist was arrested today, I'm not surprised, he always seemed sketchy."
164,"It doesn't matter how much you push the envelope. It will still be stationary."
165,"It takes guts to be an organ donor."
166,"It was raining cats and dogs the other day. I almost stepped in a poodle."
167,"It was so cold yesterday my computer froze. My own fault though, I left too many windows open."
168,"It's hard to explain puns to kleptomaniacs, because they take everything literally."
169,"It's difficult to say what my wife does, she sells sea shells by the sea shore."
170,"I've been trying to come up with a dad joke about momentum . . . but I just can't seem to get it going."
171,"I've got a joke about vegetables for you... but it's a bit corny."
172,"I've just written a song about a tortilla. Well, it is more of a rap really."
173,"I've started telling everyone about the benefits of eating dried grapes. It's all about raisin awareness."
174,"Just read a few facts about frogs. They were ribbiting."
175,"Just watched a documentary about beavers… It was the best damn program I've ever seen."
176,"Man, I really love my furniture... me and my recliner go way back."
177,"Milk is also the fastest liquid on earth – its pasteurized before you even see it."
178,"Mountains aren't just funny, they are hill areas."
179,"My boss told me that he was going to fire the person with the worst posture. I have a hunch, it might be me."
180,"My boss told me to attach two pieces of wood together... I totally nailed it!"
181,"My cat was just sick on the carpet, I don't think it's feline well."
182,"My dog used to chase people on a bike a lot. It got so bad I had to take his bike away."
183,"My friend keeps telling me ""Cheer up. You aren't stuck in a deep hole in the ground, filled with water."""
184,"My friend told me that pepper is the best seasoning for a roast, but I took it with a grain of salt."
185,"My new thesaurus is terrible. In fact, it's so bad, I'd say it's terrible."
186,"My New Years resolution is to stop leaving things so late."
187,"My pet mouse 'Elvis' died last night. He was caught in a trap."
188,"My sister bet me $15 that I couldn't build a car out of spaghetti. You should have seen the look on her face as I drove pasta."
189,"My son is studying to be a surgeon, I just hope he makes the cut."
190,"My wife is on a tropical fruit diet, the house is full of stuff. It is enough to make a mango crazy."
191,"Never take advice from electrons. They are always negative."
192,"Never Trust Someone With Graph Paper... They're always plotting something."
193,"No matter how kind you are, German children are kinder."
194,"Parallel lines have so much in common. It's a shame they'll never meet."
195,"Recent survey revealed 6 out of 7 dwarf's aren't happy."
196,"Remember, the best angle to approach a problem from is the ""try"" angle."
197,"Scientists finally did a study on forks. It's about tine!"
198,"Sgt.: Commissar! Commissar! The troops are revolting! Commissar: Well, you're pretty repulsive yourself."
199,"Slept like a log last night … woke up in the fireplace."
200,"So a duck walks into a pharmacy and says ""Give me some chap-stick… and put it on my bill."""
201,"Some people eat light bulbs. They say it's a nice light snack."
202,"Some people say that I never got over my obsession with Phil Collins. But take a look at me now."
203,"Somebody stole my Microsoft Office and they're going to pay - you have my Word."
204,"Someone asked me to name two structures that hold water. I said ""Well dam."""
205,"Sometimes I tuck my knees into my chest and lean forward. That's just how I roll."
206,"The best time on a clock is 6:30--hands down."
207,"The great thing about stationery shops is they're always in the same place..."
208,"The other day I was listening to a song about superglue, it's been stuck in my head ever since."
209,"The other day, my wife asked me to pass her lipstick but I accidentally passed her a glue stick. She still isn't talking to me."
210,"The rotation of earth really makes my day."
211,"The urge to sing the Lion King song is just a whim away."
212,"There are two types of people in this world, those who can extrapolate from incomplete data..."
213,"They say Dodger Stadium can hold up to fifty-six thousand people, but that is just a ballpark figure."
214,"This furniture store keeps emailing me, all I wanted was one night stand!"
215,"To the person who stole my anti-depressant pills: I hope you're happy now."
216,"Today a girl said she recognized me from vegetarian club, but I'm sure I've never met herbivore."
217,"Today a man knocked on my door and asked for a small donation towards the local swimming pool. I gave him a glass of water."
218,"Two dyslexics walk into a bra."
219,"Two guys walked into a bar, the third one ducked."
220,"Two parrots are sitting on a perch. One turns to the other and asks, ""do you smell fish?"""
221,"Two peanuts were walking down the street. One was a salted."
222,"Two satellites decided to get married. The wedding wasn't much, but the reception was incredible."
223,"Two silk worms had a race. They ended up in a tie."
224,"Want to hear a chimney joke? Got stacks of em! First one's on the house."
225,"Want to hear a joke about construction? Nah, I'm still working on it."
226,"We all know where the Big Apple is but does anyone know where the Minneapolis?"
227,"What animal is always at a game of cricket? A bat."
228,"What are the strongest days of the week? Saturday and Sunday...the rest are weekdays."
229,"What did one nut say as he chased another nut? I'm a cashew!"
230,"What did one plate say to the other plate? Dinner is on me!"
231,"What did one wall say to the other wall? I'll meet you at the corner!"
232,"What did the 0 say to the 8? Nice belt."
233,"What did the big flower say to the littler flower? Hi, bud!"
234,"What did the Buffalo say to his little boy when he dropped him off at school? Bison."
235,"What did the calculator say to the student? You can count on me."
236,"What did the digital clock say to the grandfather clock? Look, no hands!"
237,"What did the doctor say to the gingerbread man who broke his leg? Try icing it."
238,"What did the dog say to the two trees? Bark bark."
239,"What did the Dorito farmer say to the other Dorito farmer? Cool Ranch!"
240,"What did the drummer name her twin daughters? Anna One, Anna Two..."
241,"What did the father tomato say to the baby tomato whilst on a family walk? Ketchup."
242,"What did the fish say when it swam into a wall? Damn!"
243,"What did the green grape say to the purple grape? BREATH!!"
244,"What did the hat say to the scarf? You can hang around. I'll just go on ahead."
245,"What did the ocean say to the beach? Thanks for all the sediment."
246,"What did the Red light say to the Green light? Don't look at me I'm changing!"
247,"What did the shy pebble wish for? That she was a little boulder."
248,"What did Yoda say when he saw himself in 4K? ""HDMI"""
249,"What do Alexander the Great and Winnie the Pooh have in common? Same middle name."
250,"What do bees do after they are married? They go on a honeymoon."
251,"What do birds give out on Halloween? Tweets."
252,"What do computers and air conditioners have in common? They both become useless when you open windows."
253,"What do I look like? A JOKE MACHINE!?"
254,"What do you call a bee that lives in America? A USB."
255,"What do you call a beehive without the b's? An eehive."
256,"What do you call a belt made out of watches? A waist of time."
257,"What do you call a boomerang that won't come back? A stick."
258,"What do you call a careful wolf? Aware wolf."
259,"What do you call a cow with two legs? Lean beef."
260,"What do you call a crowd of chess players bragging about their wins in a hotel lobby? Chess nuts boasting in an open foyer."
261,"What do you call a dad that has fallen through the ice? A Popsicle."
262,"What do you call a dictionary on drugs? High definition."
263,"What do you call a dog that can do magic tricks? A labracadabrador."
264,"What do you call a duck that gets all A's? A wise quacker."
265,"What do you call a factory that makes good products? A satisfactory."
266,"What do you call a fashionable lawn statue with an excellent sense of rhythmn? A metro-gnome."
267,"What do you call a fish wearing a bowtie? Sofishticated."
268,"What do you call a fish with no eyes? A fsh."
269,"What do you call a group of killer whales playing instruments? An Orca-stra."
270,"What do you call a monkey in a mine field? A babooooom!"
271,"What do you call a pig that knows karate? A pork chop!"
272,"What do you call a pile of cats? A Meowtain."
273,"What do you call a sheep with no legs? A cloud."
274,"What do you call a troublesome Canadian high schooler? A poutine."
275,"What do you call an Argentinian with a rubber toe? Roberto."
276,"What do you call an eagle who can play the piano? Talonted!"
277,"What do you call an elephant that doesn't matter? An irrelephant."
278,"What do you call cheese that isn't yours? Nacho cheese."
279,"What do you call fake spaghetti? An impasta."
280,"What do you call two barracuda fish? A Pairacuda!"
281,"What do you call your friend who stands in a hole? Phil."
282,"What do you do on a remote island? Try and find the TV island it belongs to."
283,"What do you do when you see a space man? Park your car, man."
284,"What do you do when your bunny gets wet? You get your hare dryer."
285,"What do you get if you cross a turkey with a ghost? A poultry-geist!"
286,"What do you get when you cross a bee and a sheep? A bah-humbug."
287,"What do you get when you cross a rabbit with a water hose? Hare spray."
288,"What does a clock do when it's hungry? It goes back four seconds!"
289,"What does a female snake use for support? A co-Bra!"
290,"What don't watermelons get married? Because they cantaloupe."
291,"What happens to a frog's car when it breaks down? It gets toad."
292,"What happens when you anger a brain surgeon? They will give you a piece of your mind."
293,"What is a centipedes's favorite Beatle song? I want to hold your hand, hand, hand, hand..."
294,"What is a witch's favorite subject in school? Spelling!"
295,"What is red and smells like blue paint? Red paint!"
296,"What is the best way to carve? Whittle by whittle."
297,"What is the hardest part about sky diving? The ground."
298,"What is the tallest building in the world? The library – it's got the most stories!"
299,"What is this movie about? It is about 2 hours long."
300,"What is worse then finding a worm in your Apple? Finding half a worm in your Apple."
301,"What kind of bagel can fly? A plain bagel."
302,"What kind of dinosaur loves to sleep? A stega-snore-us."
303,"What kind of dog lives in a particle accelerator? A Fermilabrador Retriever."
304,"What was the pumpkin's favorite sport? Squash."
305,"What's E.T. short for? He's only got little legs."
306,"What's the longest word in the dictionary? Smiles. Because there's a mile between the two S's."
307,"What's black and white and read all over? The newspaper."
308,"What's brown and sticky? A stick."
309,"What's orange and sounds like a parrot? A carrot."
310,"What's the difference between a poorly dressed man on a tricycle and a well dressed man on a bicycle? Attire."
311,"What's the difference between a rooster and a crow? A rooster can crow but a crow cannot rooster."
312,"What's the worst thing about ancient history class? The teachers tend to Babylon."
313,"When does a joke become a dad joke? When it becomes apparent."
314,"When is a door not a door? When it's ajar."
315,"When my wife told me to stop impersonating a flamingo, I had to put my foot down."
316,"When you have a bladder infection, urine trouble."
317,"Whenever the cashier at the grocery store asks my dad if he would like the milk in a bag he replies, 'No, just leave it in the carton!'"
318,"Where did you learn to make ice cream? Sunday school."
319,"Where do bees go to the bathroom? The BP station."
320,"Where do fish keep their money? In the riverbank."
321,"Where do hamburgers go to dance? The meat-ball."
322,"Where do rabbits go after they get married? On a bunny-moon."
323,"Where do sheep go to get their hair cut? The baa-baa shop."
324,"Where do you learn to make banana splits? At sundae school."
325,"Where do you take someone who has been injured in a Peek-a-boo accident? To the I.C.U."
326,"Where does Napoleon keep his armies? In his sleevies."
327,"Where was the Declaration of Independence signed? At the bottom!"
328,"Where's the bin? Dad: I haven't been anywhere!"
329,"Which is the fastest growing city in the world? Dublin'."
330,"Who is the coolest Doctor in the hospital? The hip Doctor!"
331,"Why are basketball players messy eaters? Because they are always dribbling."
332,"Why are elevator jokes so classic? They work on so many levels."
333,"Why are graveyards so noisy? Because of all the coffin."
334,"Why are snake races so exciting? They're always neck and neck."
335,"Why can't you hear a pterodactyl go to the bathroom? The p is silent."
336,"Why can't a bicycle stand on its own? It's two-tired."
337,"Why can't a leopard hide? Because he's always spotted."
338,"Why can't your nose be 12 inches long? Because then it would be a foot."
339,"Why couldn't the bicycle stand up by itself? It was two-tired."
340,"Why couldn't the lifeguard save the hippie? He was too far out, man."
341,"Why did Dracula lie in the wrong coffin? He made a grave mistake."
342,"Why did the banana go to the doctor? He was not ""peeling"" well."
343,"Why did the belt go to prison? He held up a pair of pants!"
344,"Why did the chicken get a penalty? For fowl play."
345,"Why did the coffee file a police report? It got mugged."
346,"Why did the cookie cry? Because his mother was a wafer so long."
347,"Why did the cookie cry? It was feeling crumby."
348,"Why did the cowboy have a weiner dog? Somebody told him to get a long little doggy."
349,"Why did the feline fail the lie detector test? Because he be lion."
350,"Why did the girl smear peanut butter on the road? To go with the traffic jam."
351,"Why did the math book look sad? It had too many problems."
352,"Why did the octopus beat the shark in a fight? Because it was well armed."
353,"Why did the scarecrow win an award? Because he was outstanding in his field."
354,"Why did the sentence fail the driving test? It never came to a full stop."
355,"Why did the teddy bear say ""no"" to dessert? Because she was stuffed."
356,"Why did the tomato blush? Because it saw the salad dressing."
357,"Why didn't the orange win the race? It ran out of juice."
358,"Why didn't the number 4 get into the nightclub? Because he is 2 square."
359,"Why do bees have sticky hair? Because they use honey combs!"
360,"Why do birds fly south for the winter? Because it's too far to walk."
361,"Why do cows have hooves instead of feet? Because they lactose."
362,"Why do cows wear bells? Because their horns don't work."
363,"Why do ducks make great detectives? They always quack the case."
364,"Why do mathematicians hate the U.S.? Because it's indivisible."
365,"Why do nurses carry around red crayons? Sometimes they need to draw blood."
366,"Why do pumpkins sit on people's porches? They have no hands to knock on the door."
367,"Why do trees seem suspicious on sunny days? Dunno, they're just a bit shady."
368,"Why do valley girls hang out in odd numbered groups? Because they can't even."
369,"Why do wizards clean their teeth three times a day? To prevent bat breath!"
370,"Why does a chicken coop only have two doors? Because if it had four doors it would be a chicken sedan."
371,"Why does it take longer to get from 1st to 2nd base, than it does to get from 2nd to 3rd base? Because there's a Shortstop in between!"
372,"Why does Norway have barcodes on their battleships? So when they get back to port, they can Scandinavian."
373,"Why does Superman get invited to dinners? Because he is a Supperhero."
374,"Why don't skeletons ever go trick or treating? Because they have nobody to go with."
375,"Why don't eggs tell jokes? They'd crack each other up."
376,"Why don't sharks eat clowns? Because they taste funny."
377,"Why don't skeletons fight each other? They don't have the guts."
378,"Why don't some couples go to the gym? Because some relationships don't work out."
379,"Why is it a bad idea to iron your four-leaf clover? Cause you shouldn't press your luck."
380,"Why is no one friends with Dracula? Because he's a pain in the neck."
381,"Why is the new Kindle screen textured to look like paper? So you feel write at home."
382,"Why should you never trust a pig with a secret? Because it's bound to squeal."
383,"Why was it called the dark ages? Because of all the knights."
384,"Why was Santa's little helper feeling depressed? Because he has low elf esteem."
385,"Why was the big cat disqualified from the race? Because it was a cheetah."
386,"Why was the broom late for the meeting? He overswept."
387,"Why was the picture sent to prison? It was framed."
388,"Why was the robot angry? Because someone kept pressing his buttons!"
389,"Why was the shirt happy to hang around the tank top? Because it was armless."
390,"Why was the stadium so cold? Because there were a lot of fans."
391,"Why was the strawberry sad? Its parents were in a jam."
392,"Yesterday a clown held a door open for me. I thought it was a nice jester."
393,"Yesterday, I accidentally swallowed some food coloring. The doctor says I'm okay, but I feel like I've dyed a little inside."
394,"You can't trust a ladder. It will always let you down."
395,"You know what they say about cliffhangers..."
396,"You will never guess what Elsa did to the balloon. She let it go."
